         4282851 function calls (4270684 primitive calls) in 33.662 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.061    0.061 class_Enemies.py:1(<module>)
      704    0.001    0.000    0.060    0.000 class_Player.py:64(handle_event)
    40/23    0.000    0.000    0.058    0.003 {built-in method builtins.__import__}
     2923    0.024    0.000    0.057    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.057    0.057 lexer.py:651(__call__)
        1    0.000    0.000    0.057    0.057 lexer.py:594(process_tokendef)
    88/33    0.000    0.000    0.057    0.002 lexer.py:551(_process_state)
      110    0.000    0.000    0.056    0.001 lexer.py:504(_process_regex)
        1    0.000    0.000    0.053    0.053 create_Objects.py:1(<module>)
      125    0.001    0.000    0.053    0.000 __init__.py:330(_compile)
      124    0.000    0.000    0.052    0.000 __init__.py:287(compile)
     2891    0.021    0.000    0.052    0.000 class_MiniMap.py:47(draw_enemies)
    51/32    0.000    0.000    0.052    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
    16972    0.040    0.000    0.051    0.000 class_Checks.py:4(position)
       94    0.000    0.000    0.051    0.001 _compiler.py:743(compile)
       44    0.000    0.000    0.049    0.001 class_Player.py:79(shot)
    17888    0.036    0.000    0.047    0.000 class_Animator.py:66(animate)
        1    0.000    0.000    0.046    0.046 <string>:2(__init__)
        1    0.000    0.000    0.046    0.046 class_ScreenGame.py:18(__post_init__)
        1    0.042    0.042    0.046    0.046 {built-in method pygame.display.set_mode}
     2891    0.014    0.000    0.046    0.000 class_MiniMap.py:35(draw_player)
       98    0.001    0.000    0.045    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
    19926    0.033    0.000    0.045    0.000 class_Weapons.py:19(vector_rotation)
       86    0.001    0.000    0.040    0.000 Image.py:3409(open)
     2891    0.010    0.000    0.037    0.000 class_Player.py:121(move)
    45178    0.025    0.000    0.033    0.000 class_CameraGroup.py:50(<lambda>)
31460/24654    0.016    0.000    0.031    0.000 {built-in method builtins.len}
   136967    0.031    0.000    0.031    0.000 {built-in method builtins.iter}
     2891    0.012    0.000    0.030    0.000 class_MiniMap.py:59(draw_player_shot)
       98    0.000    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
     2891    0.006    0.000    0.029    0.000 function_player_collision.py:12(player_collision)
      115    0.001    0.000    0.028    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.000    0.000    0.027    0.027 class_Shots.py:1(<module>)
       94    0.000    0.000    0.026    0.000 _parser.py:970(parse)
      113    0.000    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
   383/94    0.002    0.000    0.026    0.000 _parser.py:451(_parse_sub)
      113    0.000    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
    32158    0.025    0.000    0.025    0.000 {method 'get_rect' of 'pygame.surface.Surface' objects}
  720/104    0.010    0.000    0.025    0.000 _parser.py:511(_parse)
        1    0.000    0.000    0.025    0.025 class_Game.py:34(load_player)
        1    0.000    0.000    0.025    0.025 class_Player.py:23(__init__)
        1    0.000    0.000    0.025    0.025 class_Player.py:44(__post_init__)
       98    0.024    0.000    0.024    0.000 {built-in method _io.open_code}
        1    0.000    0.000    0.024    0.024 function_shots_collision.py:1(<module>)
       94    0.000    0.000    0.024    0.000 _compiler.py:576(_code)
     2891    0.024    0.000    0.024    0.000 {built-in method pygame.key.get_pressed}
        1    0.000    0.000    0.024    0.024 class_Explosion.py:1(<module>)
      179    0.002    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
        1    0.000    0.000    0.023    0.023 class_Animator.py:1(<module>)
     2893    0.022    0.000    0.022    0.000 {built-in method builtins.round}
    14081    0.013    0.000    0.021    0.000 class_Enemies.py:139(move)
     2891    0.006    0.000    0.021    0.000 class_Player.py:118(check_position)
  201/197    0.003    0.000    0.020    0.000 {built-in method builtins.__build_class__}
   823/94    0.004    0.000    0.019    0.000 _compiler.py:37(_compile)
        1    0.000    0.000    0.019    0.019 Image.py:1(<module>)
    52542    0.017    0.000    0.017    0.000 {method 'distance_to' of 'pygame.math.Vector2' objects}
    62872    0.017    0.000    0.017    0.000 sprite.py:1396(sprites)
       86    0.000    0.000    0.017    0.000 Image.py:344(preinit)
     5783    0.009    0.000    0.017    0.000 sprite.py:617(__len__)
      509    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
       86    0.001    0.000    0.015    0.000 Image.py:3482(_open_core)
      510    0.015    0.000    0.015    0.000 {built-in method nt.stat}
      152    0.012    0.000    0.014    0.000 _compiler.py:241(_optimize_charset)
      858    0.013    0.000    0.013    0.000 {built-in method pygame.transform.scale_by}
    14081    0.013    0.000    0.013    0.000 {built-in method math.atan2}
       86    0.001    0.000    0.012    0.000 ImageFile.py:113(__init__)
    10299    0.011    0.000    0.012    0.000 class_Shots.py:60(move)
    19926    0.012    0.000    0.012    0.000 {method 'rotate_rad' of 'pygame.math.Vector2' objects}
1950/1920    0.000    0.000    0.012    0.000 {built-in method builtins.hasattr}
    44227    0.011    0.000    0.011    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.011    0.011 plugin.py:1(<module>)
    22287    0.011    0.000    0.011    0.000 {built-in method time.time}
    32153    0.011    0.000    0.011    0.000 sprite.py:131(rect)
       86    0.001    0.000    0.010    0.000 PngImagePlugin.py:754(_open)
       28    0.000    0.000    0.010    0.000 class_Player.py:106(rotation)
     2891    0.004    0.000    0.010    0.000 class_MiniMap.py:71(draw_enemies_shot)
        1    0.000    0.000    0.010    0.010 ExifTags.py:1(<module>)
     2891    0.005    0.000    0.010    0.000 class_MiniMap.py:30(change_size_map)
       98    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
    17012    0.009    0.000    0.009    0.000 {method 'move_ip' of 'pygame.rect.Rect' objects}
      965    0.006    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:101(_path_join)
       98    0.008    0.000    0.008    0.000 {built-in method marshal.loads}
    14081    0.007    0.000    0.008    0.000 class_Enemies.py:109(check_move_count)
      107    0.007    0.000    0.007    0.000 {built-in method nt.listdir}
       14    0.001    0.000    0.007    0.001 enum.py:498(__new__)
  918/550    0.001    0.000    0.007    0.000 {built-in method __new__ of type object at 0x00007FFE99CF28A0}
     2891    0.006    0.000    0.007    0.000 class_CameraGroup.py:39(camera_center)
1695/1442    0.001    0.000    0.006    0.000 {method 'join' of 'str' objects}
        8    0.000    0.000    0.006    0.001 lexer.py:494(get)
        8    0.000    0.000    0.006    0.001 regexopt.py:82(regex_opt)
    672/8    0.002    0.000    0.006    0.001 regexopt.py:26(regex_opt_inner)
     1388    0.006    0.000    0.006    0.000 {method 'read' of '_io.BufferedReader' objects}
   762/24    0.001    0.000    0.006    0.000 regexopt.py:77(<genexpr>)
      211    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
        3    0.000    0.000    0.006    0.002 __init__.py:346(__getattr__)
        1    0.000    0.000    0.006    0.006 __init__.py:43(_load_lexers)
      368    0.003    0.000    0.006    0.000 enum.py:251(__set_name__)
        1    0.000    0.000    0.005    0.005 __init__.py:143(__getattr__)
        1    0.000    0.000    0.005    0.005 __init__.py:36(_load_formatters)
        1    0.000    0.000    0.005    0.005 BmpImagePlugin.py:1(<module>)
      179    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
       88    0.005    0.000    0.005    0.000 {built-in method _io.open}
      113    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        1    0.000    0.000    0.005    0.005 terminal256.py:1(<module>)
        1    0.000    0.000    0.005    0.005 GifImagePlugin.py:1(<module>)
        1    0.000    0.000    0.005    0.005 python.py:1(<module>)
        1    0.000    0.000    0.004    0.004 pkgdata.py:66(getResource)
       94    0.000    0.000    0.004    0.000 _compiler.py:514(_compile_info)
        1    0.000    0.000    0.004    0.004 pkgdata.py:28(resource_exists)
        2    0.000    0.000    0.004    0.002 _common.py:33(wrapper)
        2    0.000    0.000    0.004    0.002 _common.py:51(files)
        2    0.000    0.000    0.004    0.002 _common.py:107(from_package)
     8173    0.003    0.000    0.004    0.000 _parser.py:260(get)
      430    0.001    0.000    0.004    0.000 PngImagePlugin.py:195(call)
      196    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
    28283    0.004    0.000    0.004    0.000 sprite.py:119(image)
    48/38    0.000    0.000    0.004    0.000 lexer.py:516(_process_new_state)
      439    0.002    0.000    0.004    0.000 enum.py:354(__setitem__)
     7182    0.002    0.000    0.003    0.000 _parser.py:167(__getitem__)
      113    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        2    0.003    0.001    0.003    0.002 class_MiniMap.py:16(set_map)
        1    0.000    0.000    0.003    0.003 ImagePalette.py:1(<module>)
    15342    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
   100/97    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
       98    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
        2    0.000    0.000    0.003    0.001 _adapters.py:28(get_resource_reader)
      115    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(__enter__)
        2    0.000    0.000    0.003    0.001 _adapters.py:149(_native)
        2    0.000    0.000    0.003    0.001 readers.py:1(<module>)
        2    0.000    0.000    0.003    0.001 _adapters.py:144(_reader)
        2    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap_external>:1223(get_resource_reader)
        1    0.000    0.000    0.003    0.003 lexer.py:1(<module>)
       86    0.003    0.000    0.003    0.000 {built-in method numpy.array}
    14178    0.003    0.000    0.003    0.000 sprite.py:123(image)
      198    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      430    0.001    0.000    0.002    0.000 PngImagePlugin.py:161(read)
      100    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
        1    0.000    0.000    0.002    0.002 ExifTags.py:21(Base)
    11316    0.002    0.000    0.002    0.000 _parser.py:239(__next)
      123    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:304(acquire)
     2900    0.002    0.000    0.002    0.000 {method 'get_size' of 'pygame.surface.Surface' objects}
       21    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
      666    0.001    0.000    0.002    0.000 <frozen genericpath>:105(commonprefix)
      194    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
        6    0.000    0.000    0.002    0.000 typing.py:2998(__new__)
        1    0.000    0.000    0.002    0.002 executing.py:1(<module>)
      368    0.001    0.000    0.002    0.000 enum.py:1055(_add_member_)
     4560    0.001    0.000    0.002    0.000 _parser.py:255(match)
       21    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1487(_path_hooks)
      344    0.001    0.000    0.002    0.000 PngImagePlugin.py:201(crc)
        1    0.000    0.000    0.002    0.002 terminal256.py:135(__init__)
  895/205    0.001    0.000    0.002    0.000 _parser.py:177(getwidth)
        1    0.000    0.000    0.002    0.002 class_ScreenGame.py:1(<module>)
        6    0.000    0.000    0.002    0.000 typing.py:2979(_make_nmtuple)
        1    0.000    0.000    0.002    0.002 formatter.py:1(<module>)
     2891    0.002    0.000    0.002    0.000 {method 'get_fps' of 'pygame.time.Clock' objects}
        1    0.000    0.000    0.001    0.001 PngImagePlugin.py:1(<module>)
        1    0.000    0.000    0.001    0.001 style.py:1(<module>)
        1    0.000    0.000    0.001    0.001 terminal256.py:224(_setup_styles)
      108    0.000    0.000    0.001    0.000 _parser.py:97(closegroup)
     2713    0.001    0.000    0.001    0.000 _parser.py:175(append)
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
      100    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
      152    0.001    0.000    0.001    0.000 _compiler.py:214(_compile_charset)
      156    0.000    0.000    0.001    0.000 sprite.py:112(__init__)
        2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1318(create_module)
       86    0.000    0.000    0.001    0.000 {method 'sort' of 'list' objects}
        2    0.001    0.001    0.001    0.001 {built-in method _imp.create_dynamic}
      359    0.000    0.000    0.001    0.000 sprite.py:441(__contains__)
        1    0.000    0.000    0.001    0.001 class_CameraGroup.py:1(<module>)
      123    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
        1    0.000    0.000    0.001    0.001 ImageMode.py:1(<module>)
       43    0.001    0.000    0.001    0.000 _compiler.py:389(_mk_bitmap)
        1    0.000    0.000    0.001    0.001 JpegImagePlugin.py:1(<module>)
        8    0.000    0.000    0.001    0.000 __init__.py:358(namedtuple)
       98    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
     1472    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      100    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
       50    0.000    0.000    0.001    0.000 class_Enemies.py:80(random_value)
     7127    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
        2    0.000    0.000    0.001    0.000 style.py:60(__new__)
        1    0.000    0.000    0.001    0.001 dataclasses.py:1277(dataclass)
      196    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
        1    0.000    0.000    0.001    0.001 dataclasses.py:1294(wrap)
      123    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1716(path_hook_for_FileFinder)
        1    0.000    0.000    0.001    0.001 dataclasses.py:929(_process_class)
       35    0.000    0.000    0.001    0.000 typing.py:173(_type_check)
       27    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
      359    0.001    0.000    0.001    0.000 sprite.py:511(has)
        1    0.000    0.000    0.001    0.001 _position_node_finder.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _util.py:1(<module>)
        1    0.000    0.000    0.001    0.001 class_Guardian.py:1(<module>)
      695    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
       32    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:169(_path_isdir)
        1    0.000    0.000    0.001    0.001 class_MiniMap.py:9(__init__)
      759    0.001    0.000    0.001    0.000 class_Animator.py:39(<lambda>)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1171(exec_module)
      156    0.000    0.000    0.001    0.000 sprite.py:135(add)
      688    0.000    0.000    0.001    0.000 PngImagePlugin.py:148(_crc32)
       21    0.000    0.000    0.001    0.000 <frozen zipimport>:68(__init__)
      516    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
      106    0.000    0.000    0.001    0.000 random.py:336(randint)
        1    0.000    0.000    0.001    0.001 __init__.py:126(EntryPoint)
     1811    0.001    0.000    0.001    0.000 _parser.py:163(__len__)
     1662    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.001    0.001 <frozen importlib.util>:1(<module>)
       61    0.000    0.000    0.001    0.000 class_Enemies.py:115(change_direction)
        1    0.000    0.000    0.001    0.001 TiffTags.py:1(<module>)
      123    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        1    0.000    0.000    0.001    0.001 ImageMath.py:1(<module>)
     3546    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     3091    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      946    0.000    0.000    0.001    0.000 _binary.py:94(i32be)
      147    0.000    0.000    0.001    0.000 sprite.py:201(kill)
      121    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
      344    0.000    0.000    0.001    0.000 ImageFile.py:598(_safe_read)
      115    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
       93    0.000    0.000    0.001    0.000 enum.py:1603(__and__)
       86    0.000    0.000    0.001    0.000 PngImagePlugin.py:446(chunk_IHDR)
      106    0.000    0.000    0.001    0.000 random.py:295(randrange)
       36    0.000    0.000    0.001    0.000 typing.py:164(_type_convert)
     2855    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.001    0.001 modeline.py:1(<module>)
      395    0.000    0.000    0.001    0.000 __init__.py:305(escape)
      452    0.000    0.000    0.001    0.000 {built-in method builtins.delattr}
    97/96    0.000    0.000    0.001    0.000 typing.py:426(inner)
      172    0.000    0.000    0.001    0.000 _util.py:9(is_path)
      228    0.000    0.000    0.001    0.000 random.py:245(_randbelow_with_getrandbits)
     2678    0.001    0.000    0.001    0.000 {built-in method builtins.min}
      122    0.000    0.000    0.001    0.000 random.py:345(choice)
       32    0.001    0.000    0.001    0.000 {built-in method pygame.transform.flip}
      123    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
       78    0.000    0.000    0.001    0.000 terminal256.py:205(_color_index)
      430    0.001    0.000    0.001    0.000 {method 'tell' of '_io.BufferedReader' objects}
      121    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:177(_path_isabs)
        1    0.000    0.000    0.001    0.001 builtins.py:1(<module>)
       23    0.000    0.000    0.001    0.000 typing.py:1023(__init__)
        1    0.000    0.000    0.001    0.001 coloring.py:1(<module>)
       10    0.000    0.000    0.001    0.000 typing.py:2054(__new__)
  163/162    0.000    0.000    0.001    0.000 sprite.py:444(add)
      439    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
      368    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
        8    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
       10    0.000    0.000    0.000    0.000 terminal256.py:188(_closest_color)
       27    0.000    0.000    0.000    0.000 class_Player.py:103(pos_weapons_rotation)
        1    0.000    0.000    0.000    0.000 ImageFile.py:1(<module>)
       23    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      396    0.000    0.000    0.000    0.000 enum.py:825(__setattr__)
       86    0.000    0.000    0.000    0.000 PngImagePlugin.py:467(chunk_IDAT)
       86    0.000    0.000    0.000    0.000 PngImagePlugin.py:380(__init__)
     1032    0.000    0.000    0.000    0.000 {built-in method _struct.unpack_from}
      285    0.000    0.000    0.000    0.000 _parser.py:171(__setitem__)
     2252    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       98    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
       86    0.000    0.000    0.000    0.000 PngImagePlugin.py:492(chunk_tRNS)
       86    0.000    0.000    0.000    0.000 BmpImagePlugin.py:56(_dib_accept)
       86    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 dataclasses.py:470(add_fns_to_class)
      905    0.000    0.000    0.000    0.000 _parser.py:292(tell)
      440    0.000    0.000    0.000    0.000 __init__.py:1497(debug)
     3312    0.000    0.000    0.000    0.000 regexopt.py:78(<lambda>)
      770    0.000    0.000    0.000    0.000 enum.py:199(__get__)
      452    0.000    0.000    0.000    0.000 enum.py:760(__delattr__)
       86    0.000    0.000    0.000    0.000 ImagePalette.py:211(raw)
     1381    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      688    0.000    0.000    0.000    0.000 {built-in method zlib.crc32}
       14    0.000    0.000    0.000    0.000 enum.py:484(__prepare__)
     1136    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      294    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
       81    0.000    0.000    0.000    0.000 _parser.py:448(_uniq)
      849    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       98    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
        1    0.000    0.000    0.000    0.000 terminal256.py:152(_build_color_table)
      395    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
      588    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
        1    0.000    0.000    0.000    0.000 abc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ExifTags.py:305(GPS)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1598(__init__)
    80/38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1384(_recalculate)
    54/36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1398(__iter__)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
        1    0.000    0.000    0.000    0.000 TiffTags.py:439(_populate)
      160    0.000    0.000    0.000    0.000 token.py:15(split)
      145    0.000    0.000    0.000    0.000 _compiler.py:401(_simple)
   137/93    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
      115    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
       86    0.000    0.000    0.000    0.000 _binary.py:60(i32le)
      291    0.000    0.000    0.000    0.000 enum.py:1585(_get_value)
       84    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       86    0.000    0.000    0.000    0.000 PngImagePlugin.py:484(chunk_PLTE)
      425    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
        1    0.000    0.000    0.000    0.000 _typing.py:1(<module>)
      457    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
       86    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
        1    0.000    0.000    0.000    0.000 _adapters.py:1(<module>)
      172    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
      123    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      115    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      114    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
       81    0.000    0.000    0.000    0.000 token.py:34(__getattr__)
      439    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
      206    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      108    0.000    0.000    0.000    0.000 _parser.py:85(opengroup)
        1    0.000    0.000    0.000    0.000 __init__.py:61(Sectioned)
        1    0.000    0.000    0.000    0.000 Image.py:533(Image)
      104    0.000    0.000    0.000    0.000 enum.py:695(__call__)
      457    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      511    0.000    0.000    0.000    0.000 sprite.py:417(has_internal)
      115    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 ExifTags.py:361(LightSource)
      216    0.000    0.000    0.000    0.000 sprite.py:407(remove_internal)
